id,student_count,pv_kw_t,bat_kw_t,demand_e,pv_kw_e,bat_kw_e,capex,capex_oem,npv_e,npv_demand_e,lcoe_e,opex,co2_e
835,114.79,132,230.399993896484,1377.48,1.66,2.9,2523.54,50.47,3863.01,18543.93,0.2083,86.0,0.4546
2130,115.03,132,172.800003051758,1380.36,1.66,2.18,2288.93,45.78,3393.55,18582.7,0.1826,72.48,0.4555
1088,116.55,144,201.600006103516,1398.6,1.84,2.57,2587.18,51.74,3861.62,18828.25,0.2051,83.22,0.4615
1561,118.88,132,201.600006103516,1426.56,1.72,2.63,2492.62,49.85,3758.21,19204.65,0.1957,82.07,0.4708
293,119.43,132,230.399993896484,1433.16,1.73,3.02,2629.21,52.58,4024.37,19293.5,0.2086,89.57,0.4729
1895,120.02,120,172.800003051758,1440.24,1.58,2.27,2242.18,44.84,3357.14,19388.81,0.1731,72.65,0.4753
618,121.36,132,230.399993896484,1456.32,1.76,3.06,2670.77,53.42,4086.2,19605.29,0.2084,90.91,0.4806
2302,122.09,120,172.800003051758,1465.08,1.61,2.31,2283.74,45.67,3418.84,19723.22,0.1733,73.97,0.4835
2656,122.27,120,172.800003051758,1467.24,1.61,2.32,2287.0,45.74,3425.42,19752.29,0.1734,74.16,0.4842
2939,122.56,120,172.800003051758,1470.72,1.61,2.32,2287.0,45.74,3425.42,19799.14,0.173,74.16,0.4853
838,124.06,132,230.399993896484,1488.72,1.79,3.13,2722.11,54.44,4167.4,20041.46,0.2079,92.78,0.4913
1590,125.98,120,172.800003051758,1511.76,1.66,2.39,2357.36,47.15,3530.5,20351.63,0.1735,76.43,0.4989
2451,128.64,120,172.800003051758,1543.68,1.69,2.44,2402.18,48.04,3598.66,20781.34,0.1732,77.93,0.5094
2599,129.0,120,172.800003051758,1548.0,1.7,2.44,2411.69,48.23,3610.54,20839.5,0.1733,78.12,0.5108
1826,129.35,120,172.800003051758,1552.2,1.7,2.45,2414.95,48.3,3617.12,20896.04,0.1731,78.31,0.5122
2238,129.71,120,172.800003051758,1556.52,1.71,2.46,2427.72,48.55,3635.46,20954.2,0.1735,78.68,0.5137
2887,130.18,120,172.800003051758,1562.16,1.71,2.47,2430.97,48.62,3642.03,21030.13,0.1732,78.88,0.5155
2941,130.3,108,172.800003051758,1563.6,1.54,2.47,2269.31,45.39,3440.12,21049.51,0.1634,75.65,0.516
1892,130.7,120,172.800003051758,1568.4,1.72,2.48,2443.74,48.87,3660.37,21114.13,0.1734,79.25,0.5176
1194,131.66,144,201.600006103516,1579.92,2.08,2.91,2926.2,58.52,4368.44,21269.22,0.2054,94.17,0.5214
1780,131.92,120,172.800003051758,1583.04,1.73,2.5,2459.77,49.2,3685.41,21311.22,0.1729,79.83,0.5224
2750,136.26,120,172.800003051758,1635.12,1.79,2.58,2542.89,50.86,3808.82,22012.33,0.173,82.46,0.5396
596,139.94,144,201.600006103516,1679.28,2.21,3.09,3108.48,62.17,4640.31,22606.82,0.2053,100.02,0.5542
1212,140.16,144,201.600006103516,1681.92,2.21,3.1,3111.73,62.23,4646.75,22642.36,0.2052,100.21,0.555
2333,141.21,120,172.800003051758,1694.52,1.86,2.67,2638.79,52.78,3950.7,22811.98,0.1732,85.49,0.5592
143,141.54,144,201.600006103516,1698.48,2.23,3.13,3140.53,62.81,4690.13,22865.3,0.2051,101.15,0.5605
807,141.55,144,201.600006103516,1698.6,2.23,3.13,3140.53,62.81,4690.13,22866.91,0.2051,101.15,0.5605
1126,147.68,132,230.399993896484,1772.16,2.14,3.73,3250.45,65.01,4974.47,23857.19,0.2085,110.7,0.5848
1916,147.92,120,172.800003051758,1775.04,1.95,2.8,2766.73,55.33,4142.26,23895.96,0.1733,89.63,0.5858
2959,148.33,120,172.800003051758,1779.96,1.95,2.81,2769.99,55.4,4148.85,23962.2,0.1731,89.82,0.5874
2622,149.16,120,172.800003051758,1789.92,1.96,2.82,2782.76,55.66,4167.31,24096.28,0.1729,90.21,0.5907
3010,149.51,144,172.800003051758,1794.12,2.36,2.83,3166.4,63.33,4648.98,24152.82,0.1925,98.0,0.5921
1609,149.66,120,172.800003051758,1795.92,1.97,2.83,2795.53,55.91,4185.64,24177.05,0.1731,90.58,0.5927
2821,149.88,120,172.800003051758,1798.56,1.97,2.84,2798.79,55.98,4192.22,24212.59,0.1731,90.77,0.5935
2894,150.82,120,172.800003051758,1809.84,1.98,2.86,2814.81,56.3,4217.13,24364.45,0.1731,91.33,0.5972
2461,150.86,120,172.800003051758,1810.32,1.98,2.86,2814.81,56.3,4217.13,24370.91,0.173,91.33,0.5974
2255,151.1,120,172.800003051758,1813.2,1.99,2.86,2824.32,56.49,4229.01,24409.68,0.1733,91.52,0.5984
622,153.83,132,230.399993896484,1845.96,2.23,3.88,3384.92,67.7,5179.21,24850.7,0.2084,115.23,0.6092
1079,153.83,144,201.600006103516,1845.96,2.43,3.4,3418.7,68.37,5103.74,24850.7,0.2054,110.02,0.6092
2903,155.02,120,172.800003051758,1860.24,2.04,2.94,2897.94,57.96,4340.55,25042.94,0.1733,93.98,0.6139
48,156.3,156,201.600006103516,1875.6,2.67,3.45,3663.22,73.26,5421.45,25249.72,0.2147,115.52,0.6189
1848,158.24,120,172.800003051758,1898.88,2.08,3.0,2955.53,59.11,4427.17,25563.12,0.1732,95.86,0.6266
1192,162.51,132,230.399993896484,1950.12,2.35,4.1,3570.72,71.41,5465.15,26252.93,0.2082,121.63,0.6435
2785,163.04,120,172.800003051758,1956.48,2.14,3.09,3041.91,60.84,4557.16,26338.55,0.173,98.69,0.6456
2210,163.09,120,172.800003051758,1957.08,2.14,3.09,3041.91,60.84,4557.16,26346.62,0.173,98.69,0.6458
2711,164.37,120,172.800003051758,1972.44,2.16,3.11,3067.45,61.35,4593.96,26553.4,0.173,99.45,0.6509
1071,164.58,144,201.600006103516,1974.96,2.6,3.64,3658.56,73.17,5462.22,26587.33,0.2054,117.76,0.6517
1896,167.1,120,172.800003051758,2005.2,2.2,3.16,3121.78,62.44,4674.12,26994.42,0.1732,101.15,0.6617
1588,167.29,120,172.800003051758,2007.48,2.2,3.17,3125.03,62.5,4680.57,27025.12,0.1732,101.33,0.6625
943,170.33,144,201.600006103516,2043.96,2.69,3.76,3783.25,75.67,5647.47,27516.22,0.2052,121.73,0.6745
2796,172.75,120,172.800003051758,2073.0,2.27,3.27,3224.19,64.48,4828.9,27907.16,0.173,104.54,0.6841
507,172.88,132,230.399993896484,2074.56,2.5,4.37,3801.34,76.03,5819.49,27928.16,0.2084,129.56,0.6846
18,173.31,156,201.600006103516,2079.72,2.96,3.83,4062.82,81.26,6013.85,27997.63,0.2148,128.18,0.6863
3024,174.9,132,172.800003051758,2098.8,2.53,3.31,3484.47,69.69,5163.91,28254.49,0.1828,110.24,0.6926
2747,176.35,120,172.800003051758,2116.2,2.32,3.34,3294.54,65.89,4933.98,28488.73,0.1732,106.81,0.6983
