id,student_count,student_school,pop_per_school,pv_kw_t,bat_kw_t
152,,50.91,50.91,132,230.399993896484
153,,50.91,50.91,132,230.399993896484
154,,50.91,50.91,132,230.399993896484
155,,50.91,50.91,132,230.399993896484
156,,50.91,50.91,132,230.399993896484
157,,50.91,50.91,132,230.399993896484
158,,50.91,50.91,132,230.399993896484
159,,50.91,50.91,132,230.399993896484
160,,4636.78,4636.78,144,201.600006103516
161,,4636.78,4636.78,144,201.600006103516
162,,78.6,78.6,132,230.399993896484
163,,78.6,78.6,132,230.399993896484
164,,78.6,78.6,132,230.399993896484
165,,78.6,78.6,132,230.399993896484
166,,43.24,43.24,132,230.399993896484
167,,43.24,43.24,132,230.399993896484
168,,43.24,43.24,132,230.399993896484
169,,43.24,43.24,132,230.399993896484
170,,43.24,43.24,132,230.399993896484
171,,43.24,43.24,132,230.399993896484
172,,43.24,43.24,132,230.399993896484
173,,43.24,43.24,132,230.399993896484
174,,43.24,43.24,132,230.399993896484
175,,513.11,513.11,144,172.800003051758
176,,513.11,513.11,144,172.800003051758
177,,193.49,193.49,132,230.399993896484
178,,193.49,193.49,132,230.399993896484
179,,94.42,94.42,132,230.399993896484
180,,94.42,94.42,132,230.399993896484
181,,193.49,193.49,132,230.399993896484
182,,193.49,193.49,132,230.399993896484
183,,4261.51,4261.51,132,230.399993896484
184,,193.49,193.49,132,230.399993896484
185,,94.42,94.42,132,230.399993896484
186,,94.42,94.42,132,230.399993896484
187,,193.49,193.49,132,230.399993896484
188,,193.49,193.49,132,230.399993896484
189,,398.78,398.78,156,201.600006103516
190,,398.78,398.78,156,201.600006103516
191,,94.42,94.42,132,230.399993896484
192,,94.42,94.42,132,230.399993896484
194,,94.42,94.42,132,230.399993896484
195,,94.42,94.42,132,230.399993896484
197,,309.04,309.04,132,230.399993896484
198,,836.37,836.37,132,230.399993896484
200,,836.37,836.37,132,230.399993896484
201,,342.36,342.36,132,230.399993896484
202,,1578.04,1578.04,132,230.399993896484
203,,1578.04,1578.04,132,230.399993896484
204,,342.36,342.36,132,230.399993896484
205,,342.36,342.36,132,230.399993896484
206,,4958.12,4958.12,132,230.399993896484
207,,309.04,309.04,132,230.399993896484
208,,309.04,309.04,132,230.399993896484
209,,5717.3,5717.3,132,230.399993896484
210,,802.44,802.44,132,230.399993896484
211,,2833.26,2833.26,132,230.399993896484
212,,307.4,307.4,132,230.399993896484
213,,307.4,307.4,132,230.399993896484
214,,746.05,746.05,132,230.399993896484
215,,746.05,746.05,132,230.399993896484
216,,486.87,486.87,132,230.399993896484
217,,486.87,486.87,132,230.399993896484
218,,629.77,629.77,132,230.399993896484
219,,486.87,486.87,132,230.399993896484
220,,486.87,486.87,132,230.399993896484
221,,10935.32,10935.32,132,230.399993896484
222,,649.23,649.23,132,230.399993896484
223,,649.23,649.23,132,230.399993896484
224,,629.77,629.77,132,230.399993896484
225,,486.87,486.87,132,230.399993896484
226,,486.87,486.87,132,230.399993896484
227,,629.77,629.77,132,230.399993896484
228,,39708.21,39708.21,132,230.399993896484
229,,629.77,629.77,132,230.399993896484
231,,629.77,629.77,132,230.399993896484
232,,629.77,629.77,132,230.399993896484
233,,855.63,855.63,132,230.399993896484
234,,855.63,855.63,132,230.399993896484
235,,614.51,614.51,144,172.800003051758
236,,614.51,614.51,144,172.800003051758
237,,4512.57,4512.57,132,230.399993896484
238,,855.63,855.63,132,230.399993896484
239,,855.63,855.63,132,230.399993896484
240,,855.63,855.63,132,230.399993896484
